workspace,repo_slug,pipeline_uuid,step_uuid,state,name,duration_seconds
solutionsmetrixcrmdev,esl,{7d661a23-cdb4-4dca-8f4d-5c279a8d335f},{22aca21e-66cb-4f50-9127-3d7a8c349089},COMPLETED,Deploy to QA,709
solutionsmetrixcrmdev,esl,{ff08cf40-4342-4503-b18b-19c4690d3a49},{1b19a3fe-0407-448e-9730-3bd3902eabac},COMPLETED,Deploy to QA,622
solutionsmetrixcrmdev,esl,{424d9fd3-a801-40ad-955a-a24c6ebcf8ab},{b48c2d72-a15b-4c66-b377-0f543bc06862},COMPLETED,Deploy to QA,730
solutionsmetrixcrmdev,esl,{4aa3e653-78e6-441d-856a-46efb8e1400e},{a5e2e149-3ff5-4721-aebb-e4b0593abcc0},COMPLETED,Deploy to QA,481
solutionsmetrixcrmdev,esl,{990cdd66-e75e-44b8-959e-bbc470ba9dd4},{938fbbb4-cfdd-44e0-88e6-7fd3df82b1fa},COMPLETED,Deploy to QA,514
solutionsmetrixcrmdev,esl,{176b05f3-39dc-47d7-bd26-56b74ba546f6},{0836d9e2-cb85-47e5-8b1c-b21b17d3083b},COMPLETED,Deploy to QA,801
solutionsmetrixcrmdev,esl,{3c970422-8b92-4dfa-8cb7-d221fbf1f724},{84bbc75c-f90f-4a31-9f77-1dcf7d9d2591},COMPLETED,Deploy to QA,949
solutionsmetrixcrmdev,esl,{f76a0795-fd47-484d-9042-93e3c366f96e},{7a6c1070-7dfd-48ad-8095-5a8a5fefd3c7},COMPLETED,Deploy to QA,595
solutionsmetrixcrmdev,esl,{9fa1cfde-6ba4-4d0e-a9b2-00d9e45351c7},{eb2a3e49-3525-4e19-b5c6-61448c70cd5c},COMPLETED,Deploy to UAT,555
solutionsmetrixcrmdev,esl,{66d31bb7-de22-40fd-b468-c7ab4696aeca},{31e19ca8-ebba-40d5-8fc5-ad0badd7f4cc},COMPLETED,Deploy to QA,834
solutionsmetrixcrmdev,esl,{d9428231-a7c8-4d11-afc6-dcc22bb5d68f},{5f53831a-d3e4-4efe-8996-ee65b548f27f},COMPLETED,Deploy to QA,1367
solutionsmetrixcrmdev,esl,{33fb94c5-26ee-4f13-8b96-896fef92acf3},{28c0d624-c11c-4068-b6d5-dd731768d7da},COMPLETED,Deploy to QA,707
solutionsmetrixcrmdev,esl,{e919a3a2-792d-4a14-b239-cc75077f77d6},{798ee6da-8bdc-4305-afd3-cefa4d2659bf},COMPLETED,Deploy to QA,577
solutionsmetrixcrmdev,esl,{420cbaa6-d387-4ba1-a70b-ef07d8fee537},{1da6ee73-eaed-4f8e-94b4-3fa75ec83883},COMPLETED,Deploy to QA,804
solutionsmetrixcrmdev,esl,{4ccce5c2-ca49-489a-9d9f-3589007f6dc6},{b09aaec8-bc1c-4005-be29-d26997441acd},COMPLETED,Deploy to QA,616
solutionsmetrixcrmdev,esl,{b718f685-2eba-4cfe-a5d1-0b9e77dfd9cb},{282f5db2-6a4e-4a4c-8de4-c16a337b6468},COMPLETED,Deploy to QA,551
solutionsmetrixcrmdev,esl,{1ac5fa2b-ca7a-407c-b841-efbc79ebf85e},{79283524-ea16-4940-8580-395b74b638e7},COMPLETED,Deploy to QA,472
solutionsmetrixcrmdev,esl,{7397d743-7c88-4947-9f71-d634d7c48088},{13baa402-1aa6-42bd-a51d-6015e348d795},COMPLETED,Deploy to QA,534
